TITLE="privet"
VARIABLES="x", "y", "z"
ZONE T="zone", I=100, J=100, F=POINT
5.9062 -5.78053 2.35051e-016
6.03186 -5.78053 1.1102e-016
6.15753 -5.78053 5.16159e-017
-6.28319 -5.65487 4.84574e-017
-6.15752 -5.65487 1.05886e-016
-6.03186 -5.65487 2.27748e-016
-5.90619 -5.65487 4.82187e-016
-5.78053 -5.65487 1.00489e-015
-5.65487 -5.65487 2.06139e-015
-5.5292 -5.65487 4.16243e-015
-5.40354 -5.65487 8.27321e-015
-5.27788 -5.65487 1.61862e-014
-5.15221 -5.65487 3.11713e-014
-5.02655 -5.65487 5.90892e-014
-4.90088 -5.65487 1.10256e-013
-4.77522 -5.65487 2.02507e-013
-4.64956 -5.65487 3.66116e-013
-4.52389 -5.65487 6.51539e-013
-4.39823 -5.65487 1.14131e-012
-4.27257 -5.65487 1.96792e-012
-4.1469 -5.65487 3.34006e-012
-4.02124 -5.65487 5.58011e-012
-3.89557 -5.65487 9.17641e-012
-3.76991 -5.65487 1.48541e-011
-3.64425 -5.65487 2.36679e-011
-3.51858 -5.65487 3.71206e-011
-3.39292 -5.65487 5.73077e-011
-3.26726 -5.65487 8.70869e-011
-3.14159 -5.65487 1.30267e-010
-3.01593 -5.65487 1.91804e-010
-2.89026 -5.65487 2.77986e-010
-2.7646 -5.65487 3.9658e-010
-2.63894 -5.65487 5.56904e-010
-2.51327 -5.65487 7.69788e-010
-2.38761 -5.65487 1.04738e-009
-2.26195 -5.65487 1.40275e-009
-2.13628 -5.65487 1.84925e-009
-2.01062 -5.65487 2.39969e-009
-1.88495 -5.65487 3.06517e-009
-1.75929 -5.65487 3.85387e-009
-1.63363 -5.65487 4.7696e-009
-1.50796 -5.65487 5.81043e-009
-1.3823 -5.65487 6.96749e-009
-1.25664 -5.65487 8.22406e-009
-1.13097 -5.65487 9.55516e-009
-1.00531 -5.65487 1.09278e-008
-0.879644 -5.65487 1.23018e-008
-0.75398 -5.65487 1.36315e-008
-0.628317 -5.65487 1.48684e-008
-0.502653 -5.65487 1.59634e-008
-0.376989 -5.65487 1.68705e-008
-0.251325 -5.65487 1.75499e-008
-0.125662 -5.65487 1.79705e-008
1.93715e-006 -5.65487 1.8113e-008
0.125666 -5.65487 1.79705e-008
0.251329 -5.65487 1.75499e-008
0.376993 -5.65487 1.68705e-008
0.502657 -5.65487 1.59634e-008
0.62832 -5.65487 1.48684e-008
0.753984 -5.65487 1.36315e-008
0.879648 -5.65487 1.23017e-008
1.00531 -5.65487 1.09277e-008
1.13098 -5.65487 9.55512e-009
1.25664 -5.65487 8.22402e-009
1.3823 -5.65487 6.96745e-009
1.50797 -5.65487 5.81039e-009
1.63363 -5.65487 4.76957e-009
1.75929 -5.65487 3.85385e-009
1.88496 -5.65487 3.06515e-009
2.01062 -5.65487 2.39967e-009
2.13629 -5.65487 1.84924e-009
2.26195 -5.65487 1.40273e-009
2.38761 -5.65487 1.04737e-009
2.51328 -5.65487 7.6978e-010
2.63894 -5.65487 5.56898e-010
2.7646 -5.65487 3.96576e-010
2.89027 -5.65487 2.77983e-010
3.01593 -5.65487 1.91802e-010
3.1416 -5.65487 1.30265e-010
3.26726 -5.65487 8.70858e-011
3.39292 -5.65487 5.7307e-011
3.51859 -5.65487 3.71201e-011
3.64425 -5.65487 2.36675e-011
3.76991 -5.65487 1.48538e-011
3.89558 -5.65487 9.17627e-012
4.02124 -5.65487 5.58002e-012
4.14691 -5.65487 3.34001e-012
4.27257 -5.65487 1.96789e-012
4.39823 -5.65487 1.14129e-012
4.5239 -5.65487 6.51528e-013
4.64956 -5.65487 3.6611e-013
4.77522 -5.65487 2.02503e-013
4.90089 -5.65487 1.10254e-013
5.02655 -5.65487 5.90881e-014
5.15222 -5.65487 3.11707e-014
5.27788 -5.65487 1.61858e-014
5.40354 -5.65487 8.27304e-015
5.52921 -5.65487 4.16234e-015
5.65487 -5.65487 2.06135e-015
5.78053 -5.65487 1.00486e-015
5.9062 -5.65487 4.82176e-016
6.03186 -5.65487 2.27743e-016
6.15753 -5.65487 1.05883e-016
-6.28319 -5.5292 9.78467e-017
-6.15752 -5.5292 2.13807e-016
-6.03186 -5.5292 4.59876e-016
-5.90619 -5.5292 9.73646e-016
-5.78053 -5.5292 2.0291e-015
-5.65487 -5.5292 4.16243e-015
-5.5292 -5.5292 8.4049e-015
-5.40354 -5.5292 1.67055e-014
-5.27788 -5.5292 3.26836e-014
-5.15221 -5.5292 6.29421e-014
-5.02655 -5.5292 1.19315e-013
-4.90088 -5.5292 2.22633e-013
-4.77522 -5.5292 4.08909e-013
-4.64956 -5.5292 7.39274e-013
-4.52389 -5.5292 1.31561e-012
-4.39823 -5.5292 2.30457e-012
-4.27257 -5.5292 3.97369e-012
-4.1469 -5.5292 6.74435e-012
-4.02124 -5.5292 1.12675e-011
-3.89557 -5.5292 1.85293e-011
-3.76991 -5.5292 2.99938e-011
-3.64425 -5.5292 4.77909e-011
-3.51858 -5.5292 7.49551e-011
-3.39292 -5.5292 1.15718e-010
-3.26726 -5.5292 1.75849e-010
-3.14159 -5.5292 2.63039e-010
-3.01593 -5.5292 3.87297e-010
-2.89026 -5.5292 5.61319e-010
-2.7646 -5.5292 8.00787e-010
-2.63894 -5.5292 1.12452e-009
